distance,STG,Force
0,0.0,4.401648017637258
1,0.0,4.4005359286989965
2,0.0,4.4005359286989965
3,0.0,4.401648017637258
4,0.0,4.402760106575518
5,0.0,4.401648017637258
6,0.0,4.4005359286989965
7,0.0,4.401648017637258
8,0.0,4.402760106575518
9,0.0,4.401648017637258
10,0.0,4.4005359286989965
11,0.0,4.401648017637258
12,0.0,4.4005359286989965
13,0.0,4.401648017637258
14,0.0,4.402760106575518
